Year,Meet,Elevation
2017,"""Border Battle"" (MI vs. IN vs. OH)",1119
2015,'15 Engineer Invitational,
2018,'18 Rose-Hulman Twilight Invitational,
2019,'19 Engineer Invitational,
2019,'Southern Invitational,600
2014,'Southern Invitational,600
2017,'Southern Invitational,600
2018,'Southern Invitational,600
2010,10 GPAC Last Chance,
2015,108th NYRR Millrose Games,
2018,10th Annual David Suenram Gorilla Classic,
2017,10th Annual E.C.S.U. Invitational,
2015,10th Annual ESU All American Invitational/Open Meet,
2019,10th Annual Galen Piper Cross Country Challenge,
2015,10th Annual Gator Invitational,
2014,10th Annual Paul Kaiser Classic,
2012,10th Annual SHU Griffin Classic,
2019,11th Annual David Suenram Gorilla Classic,
2016,11th Annual Gator Invitational,
2015,11th Annual Paul Kaiser Classic,
2013,11th Annual SHU Griffin Classic,
2018,11th Annual UCCS Rustbuster Invite,6060
2017,11th Spring Classic Invitational,
2019,125th Penn Relays,
2010,12th Annual Bison Open / Multi,
2017,12th Annual Gator Invitational,
2015,12th Annual Oneonta Airfield Invitational,
2016,12th Annual Paul Kaiser Classic,
2019,12th Annual UCCS Rust-Buster - 2019,6060
2012,12th Annual Wilmington University Cross Country Invitational,
2018,13th Annual All American Invitational/Open Meet,
2019,13th Annual All American Meet,
2011,13th Annual Bison Open,
2017,13th Annual Paul Kaiser Classic,
2019,13th Annual Sand Shark Invitational,
2015,14th Annual LHU Invite,
2018,14th Annual Paul Kaiser Classic,
2020,14th Annual Sand Shark Invitational,
2016,14th Annual Ted Owen Cross Country Invitational,
2014,14th Annual Wilmington University Cross Country Invitational,
2013,15th Annual Bison Open & Multi,
2019,15th Annual Paul Kaiser Classic,
2014,16th Annual Bison Open & Multi  Jan 31 -,
2018,16th Annual CCSU Mini Meet,
2016,16th Annual WUXC Invitational,
2015,17th Annual Bison Open & Multi,
2019,17th Annual CCSU Mini Meet,
2019,17th Annual CCSU Ted Owen Cross Country Invitational,
2016,17th Annual DeSchriver Invite,
2018,17th Annual LHU Invitational/Open,
2017,17th Annual WUXC Invitational,
2016,18th Annual Bison Open + Multi,
2019,18th Annual LHU XC Open/Invitational,
2010,18th Annual Lehigh John Covert Classic,
2017,19th Annual Bison Open,
2013,19th Annual Bucknell Winter Classic,
2018,19th Annual DeSchriver Invitational,
2014,19th Annual Monmouth Season Opener,
2012,19th Annual PUMA/Joe I. Vigil Open,
2010,19th Annual Winter Classic,
2013,1er Circuito Nacional 2013,
2013,1er Evento CT Sistema UPR,
2014,1er Evento CT Sistema UPR,
2017,1ra Clasificatoria Atletismo LAI 2017,
2012,1ra Clasificatoria CT LAI 2012,
2011,1ra Clasificatoria Campo Traviesa LAI,
2016,1ra Clasificatoria Campo Traviesa LAI 2016,
2012,1ra Clasificatoria LAI 2012,
2013,1ra Clasificatoria LAI 2013,
2014,1ra Clasificatoria LAI 2014,
2015,1ra Clasificatoria LAI 2015,
2013,1ra Clasificatoria LAI CT 2013,
2016,1ra Clasificatoria Sistema UPR 2016,
2014,1ra Clasificatoria XC LAI,
2017,1st Annual Adelphi Panthers XC Invitational,
2016,1st Annual Indoor Gorilla Classic,
2015,1st Mountaineer Collegiate & Open Invitational,
2009,2009 Boston University Terrier Invitational,
2009,2009 Boston University Valentine Invitational,
2009,2009 NEICAAA All-New England Championship,
2009,2009 NEICAAA Indoor Track Championships,
2009,2009 Sparky Adams Invitational,
2009,2009 UAlbany Great Dane Classic,
2009,2009 Willamette Invitational,
2010,2010 BW Mid-February Meet,
2010,2010 Baldy Castillo Invitational,
2010,2010 Ben Brown Invitational,
2010,2010 Boston University Terrier Classic,
2010,2010 Boston University Valentine Invitational,
2010,2010 Bronco Relays,
2010,2010 Bulldog Relays,
2010,2010 Dartmouth Relays,
2010,2010 Doane Relays,
2010,2010 Elliston Invite  Apr 30 -,
2010,2010 Greater Boston Track Club (GBTC) Invitational,
2010,2010 ISU Classic,
